XXX,CityName,CityNo,CityTax,CountyName,CountyNo,CountyTax, SPDName,SPDNo,SPDTax,SPD2Name,SPD2No,SPD2Tax,SPD3Name,SPD3No,SPD3Tax, TransitName,TransitNo,TransitTax,Transit2Name,Transit2No,Transit2Tax, TotalTax
Argyle                        ,2061104,0.015,Denton                        ,n/a    ,0,Argyle Crm Con Dist             ,5061550,0.0025,Argyle Mun Dev Dist,5061710,0.0025,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Arlington                     ,2220095,0.02,Tarrant                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Arnett                        ,n/a    ,0,Coryell                       ,4050009,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Arney                         ,n/a    ,0,Castro                        ,4035009,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Arp                           ,2212068,0.015,Smith                         ,4212004,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Art                           ,n/a    ,0,Mason                         ,n/a    ,0,Mason Co Health Serv       ,5157500,0.01,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0725
Arthur City                   ,n/a    ,0,Lamar                         ,4139004,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Asa                           ,n/a    ,0,McLennan                      ,4161005,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Asherton                      ,2064030,0.015,Dimmit                        ,4064003,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Ashland                       ,n/a    ,0,Upshur                        ,4230002,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Asia                          ,n/a    ,0,Polk                          ,4187005,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Aspermont                     ,2217018,0.02,Stonewall                     ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Atascocita                    ,n/a    ,0,Harris                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Houston MTA                   ,3101990,0.01,n/a                           ,n/a    ,0,0.0725
Atascosa                      ,n/a    ,0,Bexar                         ,n/a    ,0,Bexar Co ESD 5,5015628,0.015,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,San Antonio MTA               ,3015995,0.005,n/a                           ,n/a    ,0,0.0825
Ater                          ,n/a    ,0,Coryell                       ,4050009,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Athens                        ,2107011,0.02,Henderson                     ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Atlanta                       ,2034028,0.02,Cass                          ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Aubrey                        ,2061051,0.015,Denton                        ,n/a    ,0,Aubrey Mun Dev Dist,5061676,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Augusta                       ,n/a    ,0,Houston                       ,4113004,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Aurora                        ,2249136,0.01,Wise                          ,4249001,0.005,Aurora Mun Dev Dist,5249537,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Austin                        ,2227016,0.01,Travis                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Austin MTA                    ,3227999,0.01,n/a                           ,n/a    ,0,0.0825
Austin                        ,2227016,0.01,Williamson                    ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Austin MTA                    ,3227999,0.01,n/a                           ,n/a    ,0,0.0825
Austin/Dripping Spgs Lib Dist/Hays Co,6105601,0.01,Hays                          ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Austin MTA                    ,3227999,0.01,n/a                           ,n/a    ,0,0.0825
Austin/E Travis Gateway Lib Dist,6227668,0.01,Travis                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Austin MTA                    ,3227999,0.01,n/a                           ,n/a    ,0,0.0825
Austin/Hays Co,6105638,0.01,Hays                          ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Austin MTA                    ,3227999,0.01,n/a                           ,n/a    ,0,0.0825
Austin/Westbank Lib Dist      ,6227604,0.01,Travis                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Austin MTA                    ,3227999,0.01,n/a                           ,n/a    ,0,0.0825
Austonio                      ,n/a    ,0,Houston                       ,4113004,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
